ts,day,event_type,kind,reject_reason,delta,vol,imb,price,vwap,poc,matched_feed_ts,matched_open_interest,matched_funding_rate,matched_liq_buy_qty,matched_liq_sell_qty,source_file,terminal_decision_present,cum_delta_24h,cum_delta_180m,cum_delta_60m,ret_15m,ret_60m,dist_vwap,abs_dist_vwap,price_vs_vwap_side,prev_price,prev_vol,prev_vwap,comparison_price_pass,comparison_vol_pass,comparison_vwap_pass,comparison_3of3_pass_count,comparison_3of3_failed_subconditions
2026-04-05 09:53:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,vwap_side,100.28,118.01,0.85,66781.805224,67124.0,,2026-04-05 09:53:00,,,,,2026-04-05.jsonl,True,687.9968799999879,-87.43589000000793,79.39444000000367,50.0,-63.0,-342.1947760000039,342.1947760000039,below,,,,,,,,
2026-04-05 13:15:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-16.65,17.82,0.935,67058.049316,67132.0,,2026-04-05 13:15:00,,,,,2026-04-05.jsonl,True,-0.2535500000703905,-91.71686999999656,-90.90685000000667,0.0,70.0,-73.95068399999582,73.95068399999582,below,,,,,,,,
2026-04-05 13:35:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,20.53,36.3,0.566,67004.06762,67131.0,,2026-04-05 13:35:00,,,,,2026-04-05.jsonl,True,-58.54032000005827,-104.08225999999922,-52.36862000000838,-48.0,9.0,-126.93237999999837,126.93237999999837,below,,,,,,,,
2026-04-05 14:31:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-16.86,24.45,0.69,66871.239577,67124.0,,2026-04-05 14:31:00,,,,,2026-04-05.jsonl,True,128.75335999997333,-234.0482600000032,-78.73205999999482,-37.0,-127.0,-252.76042299999972,252.76042299999972,below,,,,,,,,
2026-04-05 14:33:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-17.07,20.68,0.826,66815.940863,67123.0,,2026-04-05 14:33:00,,,,,2026-04-05.jsonl,True,373.76084999996965,-262.3347300000096,-105.88651999999638,-126.0,-202.0,-307.05913700000383,307.05913700000383,below,66871.239577,24.45497,67124,True,False,True,2,vol
2026-04-05 17:15:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,3of3_fail,-20.62,23.59,0.874,66944.472184,67081.0,,2026-04-05 17:15:00,,,,,2026-04-05.jsonl,True,694.0174499999666,-174.79796000001807,-115.04939999999988,11.0,57.0,-136.52781600000162,136.52781600000162,below,66774.628139,33.17085,67121,False,False,True,1,price|vol
2026-04-05 17:26:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,22.11,36.23,0.61,67044.709589,67080.0,,2026-04-05 17:26:00,,,,,2026-04-05.jsonl,True,480.8213799999721,-157.39930000001914,-66.54113000000507,172.0,205.0,-35.29041099999449,35.29041099999449,below,,,,,,,,
2026-04-05 17:27:00,2026-04-05,CANDIDATE_GATE_REJECT,long,chop_coh,,,0.249,,,,2026-04-05 17:27:00,,,,,2026-04-05.jsonl,True,489.4870799999735,-123.41297000001941,-35.511890000005224,420.0,469.0,,,at_or_unknown,,,,,,,,
2026-04-05 17:29:00,2026-04-05,CANDIDATE_GATE_REJECT,long,imb_band,,,0.444,,,,2026-04-05 17:29:00,,,,,2026-04-05.jsonl,True,530.6669599999732,-63.42251000002216,25.430719999993016,441.0,490.0,,,at_or_unknown,,,,,,,,
2026-04-05 17:41:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-27.76,52.12,0.533,67351.790896,67128.0,,2026-04-05 17:41:00,,,,,2026-04-05.jsonl,True,752.1440199999706,1.6001699999796983,23.7523699999947,245.0,421.0,223.7908960000059,223.7908960000059,above,,,,,,,,
2026-04-05 21:14:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,direction_mismatch,7.83,11.59,0.676,67410.997248,67118.0,,2026-04-05 21:14:00,,,,,2026-04-05.jsonl,True,-4.7398900000189315,-129.67006000000765,-54.075870000004215,23.0,89.0,292.9972479999997,292.9972479999997,above,,,,,,,,
2026-04-05 21:19:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,10.87,14.13,0.769,67446.647978,67118.0,,2026-04-05 21:19:00,,,,,2026-04-05.jsonl,True,42.060599999982514,-113.71063000000504,-22.30416000000696,79.0,141.0,328.6479779999936,328.6479779999936,above,67410.997248,11.58808,67118,True,True,False,2,vwap
2026-04-05 21:20:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,long,3of3_fail,14.5,16.86,0.86,67477.705693,67118.0,,2026-04-05 21:20:00,,,,,2026-04-05.jsonl,True,44.07531999998537,-101.14529000000402,-7.296730000005482,138.0,239.0,359.70569299999624,359.70569299999624,above,67446.647978,14.1264,67118,True,True,False,2,vwap
2026-04-05 22:38:00,2026-04-05,CANDIDATE_GATE_REJECT,long,imb_band,,,0.519,,,,2026-04-05 22:38:00,,,,,2026-04-05.jsonl,True,-593.4096800000443,-1.8035400000117079,32.15144000000146,208.0,220.0,,,at_or_unknown,,,,,,,,
2026-04-05 23:14:00,2026-04-05,CANDIDATE_COMPARISON_REJECT,short,direction_mismatch,-25.43,82.75,0.307,67460.14441,67139.0,,2026-04-05 23:14:00,,,,,2026-04-05.jsonl,True,-612.9397100000388,-31.521690000008675,30.406139999995503,-115.0,133.0,321.1444099999935,321.1444099999935,above,,,,,,,,
